Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
pakistan,12:49 pm · 20 Feb 2020,Sayed Z Bukhari@sayedzbukhari,"Happening nowThe only country where 1st International Snowboarding festival  & 15th edition of Cholistan desert rally happen at the same time. 

Fromto..Pakistan’s diversity is unmatched ! 
#VisitPakistan2020 #tourismpakistan",0,2.2K,34,666,"#VisitPakistan2020,#tourismpakistan",,0,225,18.89822365046136
pakistan,2:38 pm · 20 Feb 2020,Major Gaurav Arya (Retd)@majorgauravarya,"China has had enough of Pakistan. It now realises that this country is a bottomless pit that devours cash. Only return on investment China gets is the stigma of being associated with a terrorist state.

Turkey, now show Pakistan your chequebook. Have fun.",1,1.1K,60,348,,,2,255,26.490647141300876
pakistan,12:52 pm · 20 Feb 2020,Nенr_wно™@Nehr_who,"Godi Journos like Sudhir & Arnab who did Media Trial on Kanhaiyya & Umar and called them Gaddar & ""Anti-National"" without an Iota of evidence 

Have maintained absolute silence on the arrest of 11 Navy personnel for leaking information to Pakistan

Agenda > Nation",0,2.4K,38,837,,,0,264,14.9071198499986
pakistan,10:29 am · 20 Feb 2020,Waseem Malik@waseemalik65,"Good morning Pakistan
Are you ready for PSL-5?",1,49,5,13,,,0,46,33.33333333333333
pakistan,2:44 pm · 20 Feb 2020,GhulamQadir@Ghulam_qadir_,"No matter what India does, we will continue to show our love for Pakistan. We will decorate our entire land with Pakistani colors. KashmirisPakistan

#PakArmyIsOurSaviour",1,5,,9,#PakArmyIsOurSaviour,,0,170,17.96053020267749
pakistan,12:47 pm · 20 Feb 2020,Javed Aziz Khan@JavedAzizKhan,This is how these guys are making all out effort to vaccinate every child in Pakistan against #polio . ,0,130,3,55,#polio,,0,103,23.570226039551585
pakistan,2:58 pm · 20 Feb 2020,Hans Masroor Badvi@hansbadvi,"PSL is not just a league, PSL is a pathway to making Pakistan a normal country and will show to the world Pakistan is the Peaceful nation and they can host events. 
#FebMonthOfSurprises",0,38,3,17,#FebMonthOfSurprises,,0,185,26.967994498529684
pakistan,8:06 am · 20 Feb 2020,مہوش بلوچ@M_Balochi3,"Peshawar Zalmi Chairman Javed Afridi, has requested President Arif Alvi to grant Sammy honorary citizenship of Pakistan .
#psl5comespakistan",0,103,2,26,#psl5comespakistan,,0,140,23.570226039551585
pakistan,1:38 pm · 20 Feb 2020,Malik Bilal @bilalmk18,"We were with you , we are with you , we will be with you till our last breath Pak Army = Pakistan
#PakArmyIsOurSaviour",0,9,,25,#PakArmyIsOurSaviour,,0,118,16.012815380508712
pakistan,12:58 pm · 20 Feb 2020,Muhammad Aslam @MAslamPTI,"#PakArmyIsOurSaviour
Pakistan was going through an evolutionary process of its journey to enduring peace and stability after with standing challenges in the recent past.",0,18,,41,#PakArmyIsOurSaviour,,0,169,20.412414523193153
pakistan,2:02 pm · 20 Feb 2020,Freddie Wilde@fwildecricket,This is the most eagerly anticipated PSL yet with the whole season played in front of home crowds. It’s arguably the biggest sporting event in Pakistan for a generation. Good luck to all the teams - here’s to a month of great entertainment & quality T20 cricket. #HBLPSLV,0,389,7,88,#HBLPSLV,,0,271,11.952286093343936
pakistan,3:49 am · 20 Feb 2020,Wajahat Ali@WajahatAli,"My father is an immigrant from Pakistan who came to this country 50 years ago. He's not an alarmist. This is the first time he has repeatedly asked where's the ""escape plan"" for his brown, Muslim grandchildren. Where can they go & be safe? It's sobering that he's thinking this.",0,12.3K,1.2K,2K,,,0,278,10.846522890932809
pakistan,12:56 pm · 20 Feb 2020,Muhammad Aslam @MAslamPTI,"The Pakistan Army is ready to defend the country at all times and respond to the enemy with full force. 
#PakArmyIsOurSaviour",0,5,,16,#PakArmyIsOurSaviour,,0,125,18.569533817705185
pakistan,2:06 pm · 20 Feb 2020, شیخ سپیئر @Qamar5085,"#PakArmyIsOurSaviour

When you go home tell them of us , for your tomorrow, we gave our today . 
Long live Pakistan Army",1,19,1,23,#PakArmyIsOurSaviour,,0,120,22.360679774997898
pakistan,12:56 pm · 20 Feb 2020,Shahid Bhatti@PatriotBhatti,"Our pride is PAKISTAN army and we salute their services wether it was in the battlefield or tackling domestic insurgency.
Pak army is the most loyal and patriot institute of PAKISTAN and have set examples of bravery Alhamdolellah
#PakArmyIsOurSaviour",0,57,12,83,#PakArmyIsOurSaviour,,0,250,26.967994498529684
pakistan,1:07 pm · 20 Feb 2020,Muhammad Aslam @MAslamPTI,"#PakArmyIsOurSaviour
Pakistan would pay the enemy back in the same coin against any Indian war aggression.",0,7,,28,#PakArmyIsOurSaviour,,0,106,23.570226039551585
pakistan,12:34 pm · 20 Feb 2020,مہوش بلوچ@M_Balochi3,"#SibiMela2020 
Balochistan is the land of beauty. It is the largest province of Pakistan. It is area is 347,190 km². It provides a great attraction for the tourists.
This is our Balochistan, This is Beautiful Pakistan.!!!!",1,18,2,17,#SibiMela2020,,0,222,21.442250696755895
pakistan,1:07 pm · 20 Feb 2020,S junaid@Sjunaid96,#PakArmyIsOurSaviour Every rascal in Pakistan breeding on haram wealth barks against army,1,10,1,22,#PakArmyIsOurSaviour,,0,89,28.86751345948129
pakistan,1:29 pm · 20 Feb 2020,गीतिका@ggiittiikkaa,"Pakistan court sent 14-year-old #MehakKumari to ""child protection care"" till she turns 18, while Ali Raza, who abducted her, converted her to lsIam, married her & raped her, enjoys. While cool secular Hindu girls in India post fun selfies in burqas to show ""solidarity"" & ""love"".",0,234,4,152,#MehakKumari,,0,279,12.126781251816649
pakistan,12:56 pm · 20 Feb 2020,Shahid Bhatti@PatriotBhatti,"To protect and keep sovereignty of PAKISTAN
They stand guard at borders
They hunt terrorists 
They assist in natural disasters and they love PAKISTAN beyond imaginations.
#PakArmyIsOurSaviour",0,28,5,55,#PakArmyIsOurSaviour,,0,191,30.499714066520934
